"RelPath","Ext","SizeBytes","Sha256","Title"
"quick_test.txt",".txt","188","47EC2DC2EE04E855C50096E0EC4BFEE686D472AA518C470576B28818A44CD3FD",""
"quick_test2.txt",".txt","195","73E6FBF5918475A16EB0F6BA4E422411BEF4B96BB6A9525B5529AEB9A3090B9D",""
"quick_test3.txt",".txt","195","54ACA59E3EE64C677284DEFFA6E8690F920F9EFA0A7C9AE421E325DBCA1B2C05",""
"quick_test4.txt",".txt","192","4551F45D6284A67EE18255B4CF6BDF54957D3AF5A1FBCF790930ACF02C8873C9",""
"README.md",".md","953","67637A12848B4A0DCB112FEB378EEFC7AAFFE1D26FA75D51EB48F1ED90D39FD3","TicketsAPI"
"ROADMAP_JIRA_LIKE_2026.md",".md","24105","E8DE5910B4772DD3EA8B0D2825325F3FE15492FA8EDA340701F80A7E840DFD33","Roadmap Jira-Like & Robustez - TicketsAPI"
"Run-Migration.ps1",".ps1","5129","98CBBC9E5659003E2696B17FE9DD56CB2AF1DBAF9927C0D2311A5321B2457D5A",""
"scripts\QuickAuthTest.ps1",".ps1","1403","4FA5EB348E0A80F5A620077A66CDACDACFD0BE27A2FCCCD88F8D1F3D342281A6",""
"Setup-AdminUser.ps1",".ps1","2801","2D72D2F509DB0CF4DC4746ED9D98486123A8FD69082845FE0A4C7EDAD388D3BF",""
"STATUS_FINAL_VISUAL.txt",".txt","15067","01381AE355ACEB74733A497C9482647346E93736A612A4C1442641699DFBF442",""
"suite_output.txt",".txt","0","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855",""
"suite_results_final.txt",".txt","6074","6BAF36447F84ECC8C6738B35AA34C452057620A491653E67F4A1DE68B617C665",""
"suite_results.txt",".txt","6267","C860E6796CBBC388412C0E2D01E4B32862C94D8C872C1E5C86B1B99F52644990",""
"TASA_CUMPLIMIENTO_SLA_ANALISIS.md",".md","11528","B0F1881DEFC6B4DDB4DC8E25CA1056506C35DB5DA2DE7D8C1A0224A5D13C4741","📊 Tasa de Cumplimiento de Tickets - Análisis Técnico"
"TENDENCIAS_TICKETS_ANALISIS.md",".md","15947","C7B9EA96C02F9053821CEEAB80BDC463B1DE2E31069D584164D7937A68F69B23","📈 Tendencias de Tickets por Prioridad - Análisis Técnico"
"test_api_simple.ps1",".ps1","1699","F9D6E78F8156880833B29FB51C0A820420AEB311B14A05EB565A43CAC720BF8C",""
"test_api.ps1",".ps1","3488","E979DEAB05380C24765054C9F1B2B2FD3892EC939ABD9A65CCE3212143E3CA36",""
"test_busqueda_avanzada.ps1",".ps1","6174","0B217ED55E8DE9D0CE0A8951765E31B7929CC153B2B6DF509A74AC3CDA54CBA3",""
"test_fixes.ps1",".ps1","2263","A5FC72239F52645B4123BAF04B8AD63923601BFBEDB61934BB19CDDA0DBA9545",""
"test_iteration_final.txt",".txt","6257","26586521FE87EFBFD50F1B0F6AFCE89342A44BF486C32D5BE30B9AE7115529FC",""
"test_iteration2.txt",".txt","6583","7F626D13086E31A73C45439D9B37BD13D173403C946EE6866C84DDA02E97407D",""
"test_login.ps1",".ps1","5604","17DFEE37E27E5DEA71D82CD23B1E29A727C2C88AB9260BA0B1AADBBE00E79F17",""
"test_output.txt",".txt","223","65497BA224F002E02AAA8973EAE645B9EEFB339BD01EFAC615929A1299B3C706",""
"test_reportes.ps1",".ps1","3739","256D7F17A82A9986CBE1DA87CDF3D7AFD1EF16AA2984FEC154AA1D164B4EB80C",""
